TPR,FPR,Query Coverage,Target Coverage,Bitscore
0.991430877589,0.471762542685,37,37,30
0.990546323017,0.446020488574,37,37,34
0.988545018299,0.413553979511,37,37,38
0.986676396767,0.389703178356,37,37,42
0.984332327153,0.369057000263,37,37,46
0.98135248394,0.353821907013,37,37,50
0.976940768015,0.335066981875,37,37,54
0.972086774803,0.317625426845,37,37,58
0.967105626873,0.301759915944,37,37,62
0.959951791776,0.286577357499,37,37,66
0.953124136177,0.274967165747,37,37,70
0.944295175861,0.262936695561,37,37,74
0.934520847846,0.251011294983,37,37,78
0.923602127354,0.241607565012,37,37,82
0.911539014385,0.230627790911,37,37,86
0.987931358565,0.421434200158,37,40,30
0.987118674053,0.398423955871,37,40,34
0.985183710928,0.370212765957,37,40,38
0.983414601785,0.348831100604,37,40,42
0.981192158424,0.330496453901,37,40,46
0.978372640727,0.316942474389,37,40,50
0.974093607988,0.299868662989,37,40,54
0.969405468759,0.284581034936,37,40,58
0.964628874073,0.270081428947,37,40,62
0.957557965967,0.256159705805,37,40,66
0.950835351223,0.245652744944,37,40,70
0.942078260966,0.235250853691,37,40,74
0.932436616136,0.225636984502,37,40,78
0.921600822636,0.217231415813,37,40,82
0.909653807455,0.206671920147,37,40,86
0.983320617861,0.383083793013,37,43,30
0.982541104145,0.362174940898,37,43,34
0.980672482613,0.335802469136,37,43,38
0.979052642054,0.31610191752,37,43,42
0.977001581141,0.300131337011,37,43,46
0.974325803563,0.287733123194,37,43,50
0.970455877312,0.271815077489,37,43,54
0.965878307405,0.257210401891,37,43,58
0.961201225108,0.243183609141,37,43,62
0.954362512577,0.23036511689,37,43,66
0.947750467155,0.221066456527,37,43,70
0.939103946219,0.211715261361,37,43,74
0.929539699915,0.203309692671,37,43,78
0.918858703464,0.196007354873,37,43,82
0.907005672206,0.185920672445,37,43,86
0.97537068365,0.34158129761,37,46,30
0.974646454595,0.325873391122,37,46,34
0.972910516248,0.303125820856,37,46,38
0.971417830409,0.284581034936,37,46,42
0.96954368041,0.270396637773,37,46,46
0.96701164295,0.258628841608,37,46,50
0.963517652392,0.244234305227,37,46,54
0.959299432779,0.23073286052,37,46,58
0.954755033668,0.217704229052,37,46,62
0.948336484559,0.205358550039,37,46,66
0.941951106246,0.197163120567,37,46,70
0.933547837817,0.188074599422,37,46,74
0.92407204697,0.181770422905,37,46,78
0.913595603764,0.174678224324,37,46,82
0.901853141827,0.166009981613,37,46,86
0.966243186166,0.321407932755,37,49,30
0.965574241771,0.30743367481,37,49,34
0.964026271271,0.287365379564,37,49,38
0.962666268617,0.27060677699,37,49,42
0.960963501067,0.257525610717,37,49,46
0.958586260656,0.246650906225,37,49,50
0.955302351809,0.23304439191,37,49,54
0.951294213907,0.220015760441,37,49,58
0.946937782643,0.207775151038,37,49,62
0.941033380878,0.195797215655,37,49,66
0.93482491348,0.187811925401,37,49,70
0.926620669829,0.178881008668,37,49,74
0.917388131489,0.173154714999,37,49,78
0.90715494079,0.166640399265,37,49,82
0.895672316759,0.158182295771,37,49,86
0.955578775113,0.290832676648,37,52,30
0.955036985438,0.277961649593,37,52,34
0.953688039717,0.262674021539,37,52,38
0.95244413485,0.247649067507,37,52,42
0.950956977477,0.235828736538,37,52,46
0.94885616037,0.225794588915,37,52,50
0.945771276302,0.213081166273,37,52,54
0.942078260966,0.20110323089,37,52,58
0.937937439878,0.190701339638,37,52,62
0.932342632213,0.180824796428,37,52,66
