TPR,FPR,Query Coverage,Target Coverage,Bitscore
0.987410033416,0.35171589551,37,37,30
0.986130151658,0.320910266104,37,37,34
0.983827435524,0.287592380302,37,37,38
0.981460457544,0.263030805629,37,37,42
0.978600805415,0.241213200322,37,37,46
0.975087824522,0.223993268128,37,37,50
0.969984362951,0.20789531452,37,37,54
0.964238282923,0.193394960853,37,37,58
0.958326193128,0.180809288031,37,37,62
0.950598706195,0.16984560599,37,37,66
0.943353183103,0.161052708603,37,37,70
0.934238711336,0.152796409669,37,37,74
0.92406927427,0.144491329057,37,37,78
0.912796675521,0.137600917096,37,37,82
0.900399494473,0.130112929584,37,37,86
0.982815311456,0.316190638796,37,40,30
0.981642532774,0.288116783336,37,40,34
0.979441564562,0.258603868387,37,40,38
0.977224530889,0.236761872241,37,40,42
0.974488047297,0.216993097393,37,40,46
0.971178562248,0.201151247591,37,40,50
0.966273241367,0.186626503085,37,40,54
0.960843115414,0.173296909681,37,40,58
0.955193428155,0.16171126125,37,40,62
0.947578399452,0.151589063148,37,40,66
0.940547082512,0.143601063441,37,40,70
0.931587910205,0.136052098832,37,40,74
0.921616613829,0.128588502159,37,40,78
0.910552866078,0.122368838264,37,40,82
0.898305629338,0.115490621722,37,40,86
0.97686038043,0.283787409449,37,43,30
0.975810770285,0.258055074514,37,43,34
0.973700839688,0.230700748799,37,43,38
0.971633750321,0.211529549501,37,43,42
0.969106117728,0.19345593795,37,43,46
0.966021549139,0.178516549184,37,43,50
0.961657098792,0.164650357326,37,43,54
0.956644674835,0.15216224786,37,43,58
0.951139576729,0.141479060465,37,43,62
0.943835146945,0.132186150882,37,43,66
0.936959129466,0.125015244274,37,43,70
0.928230228772,0.118198004829,37,43,74
0.918371390626,0.11167345545,37,43,78
0.907484362951,0.106112344204,37,43,82
0.895365649901,0.0998073123735,37,43,86
0.967740553509,0.253615941852,37,46,30
0.966835532516,0.231212956414,37,46,34
0.964880901379,0.206846508451,37,46,38
0.963011952703,0.189102173224,37,46,42
0.960698526262,0.172809092905,37,46,46
0.957785322594,0.159638039952,37,46,50
0.95383321909,0.147003585453,37,46,54
0.94928133836,0.135369155345,37,46,58
0.944049353097,0.125320129759,37,46,62
0.937173335618,0.116819922437,37,46,66
0.930549010368,0.110283177638,37,46,70
0.922061091595,0.104331812971,37,46,74
0.912309356525,0.0986609429498,37,46,78
0.901674021078,0.093794970609,37,46,82
0.88976951418,0.0881362960072,37,46,86
0.956923142833,0.234103270811,37,49,30
0.95608773884,0.213907656284,37,49,34
0.954374089624,0.19223639601,37,49,38
0.952756833176,0.176028683626,37,49,42
0.950812912347,0.161552720798,37,49,46
0.948087139063,0.149393887656,37,49,50
0.944440279325,0.137637503354,37,49,54
0.940156156285,0.126649430474,37,49,58
0.935250835404,0.117563843021,37,49,62
0.928969239997,0.109831947121,37,49,66
0.922553765744,0.103600087807,37,49,70
0.914301473738,0.0978804361082,37,49,74
0.904849627281,0.0925022561526,37,49,78
0.894492759832,0.0879045830386,37,49,82
0.882861365778,0.082465425986,37,49,86
0.945463113701,0.213249103637,37,52,30
0.944783009168,0.195468182151,37,52,34
0.943294276412,0.177211639308,37,52,38
0.941816253963,0.162345423059,37,52,42
0.940193642361,0.149271933462,37,52,46
0.937805243767,0.138259469743,37,52,50
0.934452917488,0.127698236542,37,52,54
0.930516879445,0.117868728506,37,52,58
0.925868605946,0.109746579185,37,52,62
0.919908319767,0.103234225225,37,52,66
0.913771313512,0.0976853093978,37,52,70
0.905808199811,0.092453474475,37,52,74
0.896736569274,0.0873313983268,37,52,78
0.886609973438,0.0829044610844,37,52,82
0.875273112844,0.0777214078392,37,52,86
0.933965598492,0.196309666089,37,55,30
0.933360466113,0.180467816288,37,55,34
0.931952060663,0.163821068807,37,55,38
0.930623982521,0.150064635723,37,55,42
0.92919951161,0.138808263616,37,55,46
0.927062805244,0.128649479256,37,55,50
0.923924685117,0.119868777287,37,55,54
0.920283180533,0.110807580673,37,55,58
0.916020478108,0.103197638967,37,55,62
0.910317239311,0.0970755384278,37,55,66
0.904517607746,0.09214858899,37,55,70
0.896849027504,0.0872826166492,37,55,74
0.888066575272,0.0824410351472,37,55,78
0.87817025105,0.0781848337764,37,55,82
0.867095792991,0.0734164247908,37,55,86
0.919078270928,0.176418937047,37,58,30
0.918526690087,0.163064952804,37,58,34
0.917225387713,0.148113368619,37,58,38
0.916063319339,0.135430132442,37,58,42
0.914788792734,0.125259152662,37,58,46
0.912850227059,0.116015024757,37,58,50
0.909990574929,0.107978243372,37,58,54
0.906536500728,0.0999780482451,37,58,58
0.902718276069,0.0932583721554,37,58,62
0.897304215577,0.0876362838118,37,58,66
0.891841958701,0.0835264274738,37,58,70
0.88459643561,0.0793799848777,37,58,74
0.87607103076,0.0748554842801,37,58,78
0.866501370919,0.0711480767824,37,58,82
0.855817839088,0.0667455303788,37,58,86
0.902814668837,0.159930730018,37,61,30
0.902514780224,0.148259713652,37,61,34
0.901556207694,0.135283787409,37,61,38
0.900490532088,0.123563989366,37,61,42
0.899317753406,0.115222322496,37,61,46
0.897598749036,0.106709919754,37,61,50
0.894958658213,0.0995634039855,37,61,54
0.891777696855,0.092026634796,37,61,58
0.888307557193,0.0856484304495,37,61,62
0.88341294662,0.0803922046879,37,61,66
0.878207737126,0.0764774750604,37,61,70
0.871337074801,0.0725261591746,37,61,74
0.863234727101,0.0681723944486,37,61,78
0.854029217719,0.0647210907583,37,61,82
0.8437151915,0.060781970292,37,61,86
0.883380815697,0.141588819239,37,64,30
0.883107702853,0.13201541501,37,64,34
0.882293719476,0.121417595551,37,64,38
0.88138334333,0.111844191322,37,64,42
0.880371219261,0.105307446523,37,64,46
0.878957458658,0.0976975048172,37,64,50
0.876552994602,0.0910631966633,37,64,54
0.873752249165,0.0841605892827,37,64,58
0.870914017651,0.0788311910047,37,64,62
0.866346071459,0.0740505865997,37,64,66
0.861537143347,0.0704529378765,37,64,70
0.855255547939,0.0668308983146,37,64,74
0.847635164082,0.062794214493,37,64,78
0.838868777311,0.0597453596429,37,64,82
0.828972453089,0.0562086880168,37,64,86
0.860123382744,0.122393229103,37,67,30
0.859882400823,0.114954023269,37,67,34
