VOG3282,60.5,46.0
VOG0568,100.5,NA
VOG0569,57.2,NA
VOG0564,75.0,NA
VOG0565,71.9,69.1
VOG0566,231.8,NA
VOG0567,174.2,NA
VOG0560,120.7,NA
VOG0562,93.5,NA
VOG2706,100.0,NA
VOG2707,167.8,NA
VOG2704,97.7,NA
VOG2702,301.4,NA
VOG2703,72.0,41.7
VOG2700,105.3,NA
VOG2701,76.4,70.6
VOG0709,165.9,NA
VOG0700,86.4,NA
VOG0701,140.6,68.1
VOG0703,64.8,39.4
VOG0704,71.0,69.0
VOG0705,425.1,425.0
VOG0706,115.0,NA
VOG0707,223.9,192.3
VOG9509,357.6,NA
VOG9508,199.9,NA
VOG5288,63.5,NA
VOG5289,99.7,NA
VOG5282,175.7,42.6
VOG5283,124.0,38.3
VOG5280,153.9,NA
VOG5281,70.1,NA
VOG5286,75.4,68.6
VOG5287,309.2,246.5
VOG5284,193.0,NA
VOG5285,91.3,NA
VOG10485,156.4,NA
VOG10484,118.9,NA
VOG10487,100.3,NA
VOG10486,134.2,43.9
VOG10481,339.4,NA
VOG10480,522.1,213.3
VOG10483,207.9,NA
VOG10482,241.3,NA
VOG5866,125.1,NA
VOG5867,186.1,NA
VOG5864,136.6,39.0
VOG5865,123.8,NA
VOG10489,161.2,NA
VOG10488,337.5,NA
VOG5860,199.9,43.3
VOG5861,4946.1,NA
VOG8106,136.6,NA
VOG8107,130.8,NA
VOG8104,255.4,NA
VOG8105,153.8,NA
VOG8102,209.4,NA
VOG8103,155.6,NA
VOG8100,292.0,NA
VOG8101,142.8,NA
VOG8108,268.1,NA
VOG8109,83.8,NA
VOG3428,183.2,NA
VOG3420,117.8,NA
VOG3421,573.9,NA
VOG3423,131.3,NA
VOG3424,91.6,NA
VOG3427,264.2,NA
VOG8362,209.6,NA
VOG8363,182.6,NA
VOG8360,209.5,NA
VOG8361,220.0,NA
VOG8366,111.2,NA
VOG8367,105.4,NA
VOG8364,136.8,NA
VOG8365,158.3,NA
VOG8368,162.5,NA
VOG8369,78.6,NA
VOG7653,116.5,35.4
VOG7652,367.5,76.6
VOG7875,161.4,NA
VOG3136,416.4,200.2
VOG3137,215.8,NA
VOG7101,124.6,NA
VOG7100,139.9,135.5
VOG7107,405.5,205.5
VOG7106,235.4,NA
VOG3130,204.3,NA
VOG7104,1979.7,1001.7
VOG7873,177.3,NA
VOG7109,97.0,65.7
VOG7108,81.4,36.9
VOG3138,134.8,96.3
VOG7872,235.4,NA
VOG2553,80.8,NA
VOG2552,147.6,NA
VOG2550,120.2,NA
VOG2557,160.2,51.5
VOG7871,258.4,NA
VOG2555,76.8,NA
VOG2554,82.1,80.6
VOG2559,174.2,46.7
VOG2558,84.4,NA
VOG8814,223.3,NA
VOG8815,536.2,169.8
VOG8816,150.6,NA
VOG8817,107.3,NA
VOG8810,223.4,NA
VOG8811,137.2,NA
VOG8812,170.6,NA
VOG8813,142.5,NA
VOG8818,147.0,143.8
VOG8819,191.5,NA
VOG8476,489.1,NA
VOG7658,142.3,NA
VOG6706,142.0,NA
VOG2822,524.6,NA
VOG2821,285.4,NA
VOG2820,413.3,NA
VOG6418,118.7,90.8
VOG6419,671.2,NA
VOG6416,186.7,NA
VOG6417,119.3,115.6
VOG6414,118.8,NA
VOG6415,175.0,NA
VOG6412,150.3,131.4
VOG6413,95.5,NA
VOG6410,111.7,NA
VOG6411,236.1,107.5
VOG5325,136.3,NA
VOG5892,208.7,NA
VOG4548,292.4,292.3
VOG4549,59.3,59.2
VOG5897,111.2,61.9
VOG9112,363.9,93.5
VOG5896,184.2,NA
VOG5895,327.4,229.7
VOG5894,128.5,NA
VOG4234,161.4,NA
VOG4543,40.2,NA
VOG8243,124.3,107.1
VOG8242,464.1,NA
VOG4546,NA,202.7
VOG8244,425.4,NA
VOG4544,88.9,88.8
VOG0955,191.9,NA
VOG8794,128.1,NA
VOG0953,167.7,167.1
VOG0952,121.0,109.9
VOG7472,127.3,NA
VOG1394,164.2,164.0
VOG1395,51.8,NA
VOG1396,94.1,NA
VOG1397,109.4,NA
VOG1390,44.5,32.2
VOG1391,303.1,141.5
VOG1392,59.3,37.0
VOG1393,43.5,43.0
VOG5155,97.9,42.3
VOG3992,278.4,NA
VOG3993,714.3,NA
VOG8097,146.9,NA
VOG0049,248.8,158.6
VOG0048,742.1,741.9
VOG0043,202.5,161.4
VOG0041,71.1,70.6
VOG0040,57.7,43.4
VOG0047,67.0,48.5
VOG0046,105.6,88.3
VOG0045,112.2,111.4
VOG0044,60.5,60.1
VOG5673,163.7,NA
VOG9193,151.0,NA
VOG9190,85.1,NA
VOG9191,435.5,NA
VOG9196,671.4,637.5
VOG9197,281.4,NA
VOG5675,162.8,NA
VOG5674,NA,NA
VOG9198,123.4,NA
VOG5678,107.5,51.8
VOG4810,256.6,253.6
VOG4811,2276.1,602.0
VOG4812,100.0,100.0
VOG4813,195.6,190.6
VOG4814,366.1,NA
VOG4815,92.8,NA
VOG4816,106.5,NA
VOG4817,226.1,58.9
VOG4818,354.2,325.1
VOG4819,230.5,43.7
VOG3639,447.5,NA
VOG3638,304.1,NA
VOG3635,101.7,NA
VOG3634,153.2,69.9
VOG3637,831.6,NA
VOG3636,1744.5,41.1
VOG3631,105.2,NA
VOG3630,253.9,34.8
VOG3633,750.6,NA
VOG3632,158.3,NA
VOG9998,182.0,42.4
VOG9999,130.8,NA
VOG5499,77.5,NA
VOG5498,89.1,86.3
